ID_REGION_ID,REGION_NAME,CREATION_DATE,CREATED_BY,MODIFICATION_DATE,MODIFIED_BY
731,EU,4-5-2018 17:09:42,guillaume.marois,,
732,CA,4-5-2018 17:09:42,guillaume.marois,,
733,EAP,4-5-2018 17:09:42,guillaume.marois,,
734,EECAU,4-5-2018 17:09:42,guillaume.marois,,
735,LAC-SA,4-5-2018 17:09:42,guillaume.marois,,
736,MENA,4-5-2018 17:09:42,guillaume.marois,,
737,SA,4-5-2018 17:09:42,guillaume.marois,,
738,SSA,4-5-2018 17:09:42,guillaume.marois,,
739,USA,4-5-2018 17:09:42,guillaume.marois,,
740,Worldwide,4-5-2018 17:09:42,guillaume.marois,,
741,LAC-CA,17-12-2017 14:52:00,guillaume.marois,,
