ID_STATUS,STATUS_NAME,CREATION_DATE,CREATED_BY,MODIFICATION_DATE,MODIFIED_BY
1,,30-7-2018 15:58:31,guillaume.marois,,
2,Approval expired,30-7-2018 15:58:31,guillaume.marois,,
3,Approved,30-7-2018 15:58:31,guillaume.marois,,
4,Assign. Exp.,30-7-2018 15:58:31,guillaume.marois,,
5,Assigned,30-7-2018 15:58:31,guillaume.marois,,
6,Invested,30-7-2018 15:58:31,guillaume.marois,,
7,Matured,30-7-2018 15:58:31,guillaume.marois,,
8,New,3-8-2018 11:33:55,,,
9,Not approved,30-7-2018 15:58:31,guillaume.marois,,
10,Not ratified,30-7-2018 15:58:31,guillaume.marois,,
11,Pending,30-7-2018 15:58:31,guillaume.marois,,
12,Released,30-7-2018 15:58:31,guillaume.marois,,
13,Released after approval,30-7-2018 15:58:31,guillaume.marois,,
14,Released before approval,30-7-2018 15:58:31,guillaume.marois,,
15,Test,4-4-2019 11:30:00,guillaume.marois,,
16,,9-10-2020 11:51:33,Kevin.Allamagbo,,
17,Ratified,23-10-2020 16:18:12,Kevin.Allamagbo,,
